zip,donations,total,total_population,donations_per_1000
20865,38,1886,NA,NA
20866,6180,175550.99000000046,16365,377.6351970669111
20867,14,1045,NA,NA
20868,451,11939.11,780,578.2051282051283
20869,7,305,NA,NA
20870,9,450,NA,NA
20871,8598,204083.8700000006,18628,461.56323813613915
20872,7302,125311.22000000012,12603,579.3858605094025
20873,6,225,NA,NA
20874,22381,527915.7199999968,61087,366.37909866256325
20875,256,7279.070000000001,NA,NA
20876,9660,214333.43000000037,30778,313.8605497433232
20877,15286,371444.01,38423,397.83463029956016
20878,41096,1313016.679999994,63030,652.0069808027923
20879,10054,219295.58000000264,26164,384.26846048004893
20880,1356,52557.24000000001,547,2478.9762340036564
20882,8651,261341.96000000025,13988,618.4586788676007
20883,100,50776.7,NA,NA
20884,42,388,NA,NA
20885,98,2054.08,NA,NA
20886,16207,362243.20999999874,34834,465.26382270195785
20887,32,455,NA,NA
20889,2,28,NA,NA
20892,5,500,NA,NA
20893,39,539,NA,NA
20894,13,230,NA,NA
20895,26497,1347975.3600000064,19026,1392.6731840639127
20896,1962,161566.2600000002,775,2531.6129032258063
20897,9,58,NA,NA
20898,42,481.23,NA,NA
20899,30,3050,295,101.6949152542373
20901,42989,1309525.8700000062,36278,1184.9881470863886
20902,29875,1073108.0000000023,52908,564.6594087850608
20903,6587,250580.09999999992,27973,235.47706717191576
20904,41324,1477418.6700000064,55275,747.6074174581637
20905,12733,509001.05000000366,18662,682.2955738934734
20906,54095,1138991.140000007,70749,764.6044467059605
20907,244,4264.09,NA,NA
20908,26,583,NA,NA
20910,60712,2979373.470000009,44301,1370.4431051217805
20911,104,1824.23,NA,NA
20912,38778,1936275.090000004,26140,1483.4736036725324
20913,335,55972.77,NA,NA
20914,309,7685.58,NA,NA
20915,29,3230,NA,NA
20916,797,5998.530000000001,NA,NA
20917,23,1278.11,NA,NA
20918,9,326,NA,NA
20919,5,22,NA,NA
20920,37,1202.4000000000003,NA,NA
20922,1,250,NA,NA
20923,16,527.75,NA,NA
20925,3,150,NA,NA
20932,10,172,NA,NA
20939,24,152,NA,NA
20941,1,25,NA,NA
20950,294,5786.439999999999,NA,NA
20952,11,148,NA,NA
20953,258,5330.93,NA,NA
20954,129,1389.7999999999993,NA,NA
20960,3,215,NA,NA
20966,1,10,NA,NA
20971,8,101.17,NA,NA
20972,1,69.96,NA,NA
20974,19,2103,NA,NA
20976,1,10,NA,NA
20977,1,100,NA,NA
20978,18,547.8199999999999,NA,NA
20979,3,17,NA,NA
20984,1,10,NA,NA
20985,2,105,NA,NA
20986,16,98,NA,NA
20991,128,1591.3000000000002,NA,NA
20992,33,642,NA,NA
20993,1,100,NA,NA
20994,21,895,NA,NA
20995,10,287.20000000000005,NA,NA
20996,31,991.72,NA,NA
20997,4,30,NA,NA
21001,9185,126335.17999999996,24752,371.0811247575954
21002,4,79,NA,NA
21005,1513,7449.8,2872,526.8105849582173
21006,2,50,NA,NA
21008,6,185,NA,NA
21009,5538,94785.23000000004,29905,185.18642367497074
21010,1196,18019.26,211,5668.246445497631
21012,11344,448162.7999999995,21600,525.1851851851852
21013,1809,42460.45999999997,4768,379.40436241610735
21014,9571,216782.57000000024,36538,261.94646669221083
21015,7969,198034.8099999996,29199,272.92030548991403
21016,18,163.71999999999997,NA,NA
21017,1139,18434.4,6983,163.11041099813832
21018,1,25,NA,NA
21019,4,675,NA,NA
21020,38,527,NA,NA
21021,2,105,NA,NA
21022,147,3757.27,NA,NA
21023,188,7414.900000000003,NA,NA
21024,4,140,NA,NA
21025,4,255,NA,NA
21027,8,300,NA,NA
21028,777,21243.45,2783,279.195113187208
21029,5070,334097.21000000037,10895,465.35107847636533
21030,9939,375350.1199999992,24396,407.40285292670933
21031,10,589.24,0,Inf
21032,5033,231805.08,8084,622.5878278080158
21033,43,1582,NA,NA
21034,608,23530.29,3483,174.5621590582831
21035,6200,200449.85000000024,7957,779.1881362322483
21036,1189,69995.87,2112,562.9734848484849
21037,9471,376584.1499999987,21046,450.01425449016443
21039,9,822,NA,NA
21040,2305,33320.56,24166,95.38194157080196
21041,132,2730.9100000000003,NA,NA
21042,28455,1050627.5999999992,41195,690.7391673746814
21043,20844,686790.2499999983,47351,440.2018964752593
21044,44569,1337506.6200000034,44256,1007.0724873463486
21045,30660,803755.2300000013,40365,759.568933481977
21046,11234,309389.19999999896,15655,717.5982114340467
21047,2633,69101.56999999999,12266,214.65840534811676
21048,2073,66157.87999999996,10276,201.73219151420787
21049,1,3,NA,NA
21050,3563,70752.11000000012,18123,196.6010042487447
21051,461,25766.14,295,1562.7118644067796
21052,16,551,211,75.82938388625593
21053,776,14091.339999999998,3225,240.6201550387597
21054,5833,159548.24000000028,11199,520.8500758996339
21055,1,500,NA,NA
21056,98,38413,158,620.253164556962
21057,2464,65720.03000000001,4232,582.2306238185255
21059,10,56,NA,NA
21060,14209,173872.13999999993,34899,407.1463365712484
21061,10219,168692.45000000004,53860,189.73264017823988
21062,126,856.5,NA,NA
21064,32,688,NA,NA
21065,1,100,NA,NA
21067,1,100,NA,NA
21069,15,126,NA,NA
21071,287,8471.130000000001,581,493.9759036144578
21073,2,20,NA,NA
21074,2983,55540.70000000002,15166,196.6899643940393
21075,8984,224807.7100000003,33726,266.38201980667736
21076,6352,235382.90000000017,17442,364.1784199059741
21077,85,1464.38,276,307.9710144927536
21078,7808,212588.47000000055,18366,425.1333986714581
21079,3,175,NA,NA
21080,2,20,NA,NA
21082,459,13343.93,656,699.6951219512196
21083,10,275,NA,NA
21084,1638,29954.660000000033,7603,215.44127318163882
21085,2745,55980.65999999996,16055,170.97477421364061
21086,3,87,NA,NA
21087,656,20466.26,5394,121.61661104931406
2109,2,105,NA,NA
21090,1933,50232.64000000003,9991,193.47412671404263
21092,4,74.96000000000001,NA,NA
21093,22218,633944.1899999967,37996,584.7457627118644
21094,40,17794.12,NA,NA
21096,2,100,NA,NA
21099,3,50,NA,NA
21101,72,1499.5600000000002,NA,NA
21102,3317,51923.16000000006,11787,281.41172478153896
21103,2,11,NA,NA
21104,4210,99374.20000000011,5762,730.6490801804929
21105,28,267,0,Inf
21106,26,1213.24,NA,NA
21107,2,35,NA,NA
21108,6603,220072.7800000001,18782,351.5600042593973
21109,1,40.48,NA,NA
21111,3969,93046.8800000003,5387,736.7737144978652
21112,1,25,NA,NA
21113,16279,444059.96000000014,34473,472.22463957299914
21114,8848,236144.47000000044,27303,324.0669523495587
21115,5,108,NA,NA
21116,21,1380.24,NA,NA
21117,23052,657696.399999998,59301,388.728689229524
21118,6,123,NA,NA
21120,2596,77234.65999999997,7095,365.891472868217
21121,2,53,NA,NA
21122,9609,221055.7499999993,61051,157.39299929567082
21123,59,1086.37,NA,NA
21124,3,240,NA,NA
21127,7,283,NA,NA
21128,1908,49255.929999999986,13985,136.43189131212014
21130,7,225,156,44.87179487179487
21131,2873,130327.89000000012,7282,394.53446855259546
21132,185,6295.84,3232,57.240099009900995
21133,8682,146954.52000000025,33299,260.7285504069191
21134,21,552,NA,NA
21135,1,100,NA,NA
21136,11483,323548.850000002,34177,335.9861895426749
21137,2,20,NA,NA
21139,580,10016.789999999995,NA,NA
21140,1294,55152.62999999996,3564,363.07519640852973
21143,3,210,NA,NA
21144,11718,222529.8500000001,35335,331.6258667044008
21145,1,50,NA,NA
21146,13148,487095.9399999995,27555,477.1547813463981
21147,16,344.63,NA,NA
21149,1,7.71,NA,NA
21150,45,748,NA,NA
21152,1796,80268.00000000007,5462,328.8172830465031
21153,1329,41921.91000000001,447,2973.1543624161072
21154,568,14000.14,5804,97.86354238456236
21155,578,15340.34,2532,228.2780410742496
21156,40,1304.9999999999998,316,126.58227848101266
21157,8691,202460.4400000002,37749,230.2312644043551
21158,4343,99560.21000000004,20906,207.73940495551517
21160,285,5854.12,2933,97.17013296965564
21161,1036,26816.29999999997,5601,184.96697018389574
21162,705,11934.46,4331,162.77995843915954
21163,4816,171400.08000000005,7030,685.0640113798008
21164,1,100,NA,NA
21171,8,80,NA,NA
21173,1,1000,NA,NA
21174,33,228,NA,NA
21176,2,55,NA,NA
21200,22,110,NA,NA
21201,6643,366729.6200000009,17256,384.9675475197033
21202,6148,382084.8500000009,21784,282.22548659566655
21203,167,7428.41,NA,NA
21204,12273,511605.4999999996,21545,569.644929217916
21205,1021,23248.110000000015,16239,62.873329638524545
21206,6518,111044.22,52020,125.29796232218376
21207,13152,198563.10000000015,48872,269.1111474873138
21208,21511,700900.8699999987,35266,609.964271536324
21209,26774,644100.539999995,28309,945.7769613903706
21210,25454,1443604.7700000436,15553,1636.5974410081656
21211,13357,433904.2699999998,16370,815.9437996334758
21212,25556,1146181.100000002,33431,764.4401902425892
21213,3715,75637.8300000001,31007,119.81165543264424
21214,7525,156481.40000000066,21392,351.7670157068063
21215,10084,148706.3900000006,58283,173.01786112588576
21216,3837,59446.779999999984,30179,127.14138970807515
21217,6787,338081.31999999844,33644,201.72987754131495
21218,31378,1018091.8099999998,47555,659.8254652507622
21219,1232,28739.510000000017,9550,129.00523560209425
21220,3341,75693.55000000031,41051,81.38656792769969
21221,3250,65432.59999999995,42078,77.23751128855933
21222,3776,62814.88999999995,55212,68.39092950807796
21223,1598,27742.830000000005,22392,71.36477313326188
21224,12042,379731.1799999997,49332,244.10119192410608
21225,2446,27074.09999999997,34363,71.18121235049327
21226,636,12090.19,6247,101.80886825676325
21227,4190,96694.33000000005,33589,124.74321950638601
21228,26381,597323.7399999986,48196,547.3690762718898
21229,8355,157636.48000000007,45921,181.94290194028875
21230,13266,623503.7299999964,34274,387.0572445585575
21231,7981,281612.8999999996,15854,503.4060804844204
21232,12,414.4,NA,NA
21233,28,238,NA,NA
21234,12937,250143.7600000003,68381,189.1899796727161
21235,13,268,NA,NA
21236,5621,122992.59000000026,39707,141.56194121943233
21237,3793,79481.20000000007,30129,125.89199774303827
21238,13,734,NA,NA
21239,11716,161538.66000000044,30424,385.09071785432553
21240,14,522,0,Inf
21241,1,25,NA,NA
21243,10,168,NA,NA
21244,9590,141657.7900000002,36394,263.50497334725503
21245,19,176,NA,NA
21246,26,1031,NA,NA
21249,3,22,NA,NA
21250,5,206,2367,2.112378538234051
21251,9,134,965,9.32642487046632
21252,9,120,2383,3.7767519932857745
21253,1,100,NA,NA
21255,1,5,NA,NA
21257,55,1454.5,NA,NA
21261,12,135,NA,NA
21262,2,45,NA,NA
21265,3,1000,NA,NA
21271,2,12,NA,NA
21275,1,100,NA,NA
21281,1,10,NA,NA
21282,274,5933.99,NA,NA
21284,171,3867.14,NA,NA
21285,3,650,NA,NA
21286,12808,415242.91999999946,19849,645.2718021058995
21287,33,1663,NA,NA
21288,1,25,NA,NA
2129,2,12,NA,NA
21291,3,300,NA,NA
21294,2,100,NA,NA
21296,15,335.5,NA,NA
21297,8,122,NA,NA
21298,1,100,NA,NA
21299,2,105,NA,NA
2130,4,163.31,NA,NA
21301,12,230,NA,NA
21302,15,525,NA,NA
21303,10,464.66,NA,NA
21304,97,1173.9400000000005,NA,NA
21305,1,100,NA,NA
21306,9,73,NA,NA
21307,7,55,NA,NA
21308,5,103,NA,NA
21309,3,70,NA,NA
21310,7,120.62,NA,NA
21311,2,34.17,NA,NA
21312,3,210,NA,NA
21315,5,57,NA,NA
21316,3,125,NA,NA
21317,3,33,NA,NA
21318,81,2430.24,NA,NA
21320,9,728.15,NA,NA
21323,2,14.38,NA,NA
21328,20,300,NA,NA
21330,1,50,NA,NA
21331,2,80,NA,NA
21332,2,29,NA,NA
21334,13,63,NA,NA
21336,4,140,NA,NA
2134,1,100,NA,NA
21344,2,25,NA,NA
21346,2,29,NA,NA
21386,3,170,NA,NA
21401,36733,1649639.400000007,38315,958.7106877202141
21402,172,9181.1,6669,25.790973159394213
21403,25115,1333098.2500000054,31377,800.4270644102368
21404,217,8654.399999999998,NA,NA
21405,1726,51961.95999999998,337,5121.661721068249
21406,5,850,NA,NA
21407,1,1010,NA,NA
21408,135,263,NA,NA
21409,11407,445531.4299999982,19931,572.3245195925945
21410,2,100,NA,NA
21412,6,91.07,NA,NA
21428,21,210,NA,NA
21430,1,40,NA,NA
21442,1,150,NA,NA
21491,22,660,NA,NA
21493,6,133,NA,NA
21498,3,130,NA,NA
21501,45,625,NA,NA
21502,7293,116830.50000000042,42391,172.04123516784222
21503,18,648.06,NA,NA
21504,2,50,NA,NA
21509,17,970,NA,NA
2152,1,25,NA,NA
21520,197,8828.130000000001,2200,89.54545454545453
21521,53,890.1600000000001,1102,48.09437386569873
21523,6,46,188,31.914893617021274
21524,5,7,775,6.451612903225806
21529,33,886,434,76.036866359447
21530,475,11216.91,1859,255.51371705217858
21531,191,4804.52,1868,102.24839400428264
21532,1754,43536.08000000003,14726,119.10905880755126
21533,3,55.239999999999995,NA,NA
21536,466,10208.63,4123,113.02449672568518
21538,17,85,410,41.463414634146346
21539,28,785.4200000000001,2606,10.744435917114352
21540,1,56.18,102,9.803921568627452
21541,381,19362.08,1421,268.1210415200563
21545,55,972.24,1740,31.609195402298855
21550,1946,54859.00000000003,14077,138.23968175037297
21555,229,5493.5,1586,144.38839848675914
21557,71,1640.1999999999998,1410,50.354609929078016
21560,8,127.17,NA,NA
21561,752,17515.689999999995,2464,305.1948051948052
21562,202,2810.76,3519,57.4026712134129
21565,2,8,NA,NA
21574,3,110,NA,NA
21591,1,1,NA,NA
21592,5,63,NA,NA
21601,15791,628699.1599999968,23399,674.8578999102526
21602,26,529,NA,NA
21604,1,25,NA,NA
21607,2,350,737,2.7137042062415193
21610,279,3615.8,433,644.3418013856813
21612,232,8710.380000000001,381,608.9238845144357
21613,3942,120616.02999999994,17132,230.09572729395285
21614,1,17,NA,NA
21615,2,12,NA,NA
21617,3054,57825.34999999997,10570,288.9309366130558
21618,2,30,NA,NA
21619,3573,96216.21999999994,5964,599.0945674044266
21620,7513,422426.1699999993,12850,584.6692607003891
21622,17,546.72,854,19.90632318501171
21623,282,7916.639999999999,1989,141.77978883861238
21624,164,8929.2,175,937.1428571428571
21625,258,8292.2,2583,99.88385598141696
21627,4,28,0,Inf
21628,119,2211.88,448,265.625
21629,1206,24259.210000000006,9396,128.35249042145594
21631,94,3551.46,2814,33.4044065387349
21632,758,8827.550000000001,6078,124.71207634090162
21635,611,12718.539999999995,1983,308.11901159858803
21636,58,1112,1015,57.14285714285714
21638,1114,33617.01,5130,217.15399610136453
21639,559,10110.96,5279,105.89126728547073
21640,141,3286.5,1499,94.06270847231488
21641,17,197,88,193.1818181818182
21643,740,13598.149999999998,5864,126.193724420191
21645,196,5711.840000000006,1261,155.4321966693101
21647,635,15435.859999999995,288,2204.8611111111113
21648,4,240,175,22.857142857142858
21649,100,2484.55,1935,51.67958656330749
21650,222,8666,246,902.439024390244
21651,297,5999.56,2894,102.62612301313062
21652,249,5809.5,118,2110.169491525424
21653,75,1085,143,524.4755244755245
21654,6312,175200.69,986,6401.6227180527385
21655,427,15772.760000000002,4747,89.95154834632399
21657,61,2836.7200000000003,910,67.03296703296704
21658,916,52629.99000000004,3987,229.74667669927263
21659,1,10,1356,0.7374631268436578
21660,722,14024.06,4292,168.21994408201306
21661,1339,25956.929999999997,2487,538.3996783273019
21662,821,71666.80999999998,418,1964.1148325358852
21663,3198,165478.48000000045,3424,933.9953271028038
21664,37,803,445,83.14606741573034
21665,141,8093.42,215,655.8139534883721
21666,3570,104492.80000000018,12836,278.12402617637895
21667,445,7539.389999999999,292,1523.972602739726
21668,148,2688.7899999999995,1816,81.49779735682819
21669,146,4473.520000000004,254,574.8031496062991
21670,15,29,NA,NA
21671,397,13720.66,984,403.4552845528455
21672,6,92,161,37.267080745341616
21673,437,18756.35,3270,133.63914373088684
21676,78,9237.36,424,183.96226415094338
21677,28,1214,446,62.780269058295964
21678,1059,22807.97999999999,1842,574.9185667752444
21679,213,5971.209999999999,289,737.0242214532872
21691,1,100,NA,NA
21701,24907,631639.1800000038,37017,672.8530134802928
21702,17174,430403.05999999936,41815,410.7138586631591
21703,8726,203219.95000000024,37473,232.86099324847223
21704,5672,213888.01000000007,16887,335.87967075265
21705,449,9141.1,3,149666.66666666666
21706,1,10,NA,NA
21710,1509,45716.58000000003,4859,310.5577279275571
21711,30,741,1076,27.881040892193308
21713,1829,40567.68999999998,10728,170.48844146159584
21714,426,15300.23,216,1972.2222222222224
21715,93,4130,NA,NA
21716,2201,47591.569999999985,5078,433.43836155966915
21717,97,3016.26,77,1259.7402597402597
21718,165,4618.8,151,1092.7152317880796
21719,115,1636.0099999999998,1002,114.77045908183632
21720,48,1214,NA,NA
21721,4,63,NA,NA
21722,248,4822.030000000004,5748,43.14544189283229
21723,214,7010.54,759,281.9499341238472
21727,606,16539.529999999995,6792,89.2226148409894
21728,5,89,NA,NA
21730,4,300,NA,NA
21733,95,2380.62,897,105.90858416945373
21734,137,2700,816,167.89215686274508
21737,1141,42184.98,2462,463.4443541835906
21738,2133,91235.83999999994,3827,557.3556310425921
21740,9084,156266.82999999897,61768,147.06644217070328
21741,26,1301,NA,NA
21742,9377,180980.25000000055,33483,280.05256398769524
21743,19,188.43,NA,NA
21748,3,112,NA,NA
21749,2,303,NA,NA
21750,1588,25647.73999999999,3694,429.88630211153225
21752,4,40,NA,NA
21753,9,294,NA,NA
21754,3459,99558.51999999968,6667,518.8240587970602
21755,2271,65008.77999999997,5603,405.3185793325004
21756,706,23079.649999999976,3056,231.02094240837695
21757,121,3157.34,2793,43.32259219477264
21758,1923,35589.54000000006,5127,375.07314218841424
21759,2,67,NA,NA
21762,127,4213.839999999999,202,628.7128712871287
21764,1,25,NA,NA
21765,225,2593.999999999999,NA,NA
21766,28,1177.77,483,57.971014492753625
21767,79,3614.53,650,121.53846153846153
21768,4,125,NA,NA
21769,3776,108657.45999999992,11629,324.7054776850976
21770,1985,51007.11,5513,360.058044621803
21771,8933,209328.0900000004,29901,298.7525500819371
21772,26,183,NA,NA
21773,1692,26795.68000000001,5431,311.5448352053029
21774,5176,144050.66000000012,13092,395.35594256034216
21775,20,1112,NA,NA
21776,1182,21786.81,5516,214.28571428571428
21777,720,13418.1,1868,385.4389721627409
21778,187,2955.6699999999983,909,205.72057205720574
21779,475,6884.26,1032,460.27131782945736
21780,227,6613.8499999999995,1614,140.6443618339529
21781,2,110,153,13.071895424836601
21782,1239,23007.480000000003,4495,275.6395995550612
21783,1072,22073.15,8894,120.53069485046099
21784,9655,257843.1300000003,37365,258.3968954904322
21785,28,1329,NA,NA
21786,1,5,NA,NA
21787,944,30285.629999999997,10173,92.79465251155018
21788,2817,109285.4999999998,11910,236.52392947103274
21789,1,100,NA,NA
21790,5,349.24,157,31.84713375796178
21791,1283,18969.599999999995,5245,244.6139180171592
21792,26,355,NA,NA
21793,2311,63179.49999999996,10416,221.87019969278035
21794,648,27815.850000000013,2277,284.5849802371542
21795,1602,25785.01000000001,9147,175.13938996392258
21797,3224,169015.33999999994,8873,363.349487208385
21798,331,18457.95,2057,160.91395235780263
21801,4484,130242.52999999998,29866,150.13727984999664
21802,194,2387.96,90,2155.5555555555557
21803,82,1374.16,NA,NA
21804,7964,177007.2200000002,40877,194.8283876018299
21805,3,225,NA,NA
21806,1,25,NA,NA
21808,11,149,NA,NA
21810,3,90,814,3.6855036855036856
21811,9781,276675.0200000005,24071,406.33957874620916
21812,5,255,NA,NA
21813,1012,18157.769999999997,2672,378.7425149700599
21814,274,5105.589999999998,268,1022.3880597014925
21816,2,125,NA,NA
21817,312,6336.919999999993,4515,69.1029900332226
21818,1,100,NA,NA
21820,3,43,NA,NA
21821,155,2020.34,871,177.95637198622273
21822,632,12221.479999999998,1687,374.6295198577356
21823,1,150,NA,NA
21824,16,166,101,158.41584158415841
21826,717,10358.839999999998,5325,134.64788732394368
21829,17,435,401,42.394014962593516
21830,383,9341.89,4060,94.33497536945814
21835,19,79,337,56.37982195845697
21837,509,5382.609999999997,3200,159.0625
21838,55,1579,1657,33.1925165962583
21840,59,936.9400000000002,438,134.70319634703196
21841,349,6055.21,1580,220.8860759493671
21842,2437,52256.51999999999,10655,228.71891130924448
21843,469,5810.200000000001,NA,NA
21849,541,11445.820000000002,3577,151.24405926754264
21850,110,1634.26,2935,37.47870528109029
21851,810,13798.000000000004,6949,116.5635343214851
21852,1,20,NA,NA
21853,555,8938.869999999994,11957,46.41632516517521
21854,1,10,NA,NA
21855,1,50,NA,NA
21856,221,2715.48,875,252.57142857142856
21858,6,98.28,NA,NA
21861,42,1238.16,689,60.95791001451379
21862,2,20,90,22.22222222222222
